mmsi,count,mean,max,p95,peak_timestamp,peak_score,peak_speed,peak_lat,peak_lon
220414000,72,0.7379036125388194,1.0,0.9791985864023455,2024-09-23 21:00:00+00:00,1.0,27.12562666666667,34.435342,-125.61691466666666
563000500,72,0.3540270689296754,1.0,0.9877534502886848,2024-09-24 20:00:00+00:00,1.0,31.83082909090909,36.77416618181818,-75.7081810909091
303260000,69,0.17854478362178927,1.0,1.0,2024-09-22 07:00:00+00:00,1.0,35.5584,28.09887,-92.1903
368341690,72,0.42734929633618496,1.0,1.0,2024-09-23 17:00:00+00:00,1.0,32.022451851851855,37.757132222222225,-122.31660314814815
316049287,28,0.978547040849757,1.0,1.0,2024-09-22 01:00:00+00:00,1.0,39.8643,49.43008375,-123.30741875
316048574,72,0.7229411207064109,1.0,1.0,2024-09-22 04:00:00+00:00,1.0,29.020490566037736,49.049266792452826,-123.29573358490566
368264950,67,0.24261972335007936,1.0,0.8146001864120685,2024-09-22 20:00:00+00:00,1.0,13.28526530612245,33.86877081632653,-118.45248367346939
338206408,69,0.288202116633296,1.0,1.0,2024-09-22 12:00:00+00:00,1.0,48.615,24.84259611111111,-81.95220888888889
367628670,71,0.11516912911312688,1.0,0.7293674543373265,2024-09-24 23:00:00+00:00,1.0,0.463,28.10124,-90.20273499999999
367767410,72,0.2887406284677652,1.0,0.5202865765696907,2024-09-24 22:00:00+00:00,1.0,32.00061052631579,45.71882631578948,-122.75475736842105
